dataset,method,llm_calls,best_acc
logic,BASELINE_ALL,5,0.2
logic,BASELINE_ALL,5,0.6
logic,BASELINE_ALL,5,0.2
logic,BASELINE_ALL,12,0.3333333333333333
logic,BASELINE_ALL,12,0.3333333333333333
logic,BASELINE_ALL,15,0.6666666666666666
logic,BASELINE_ALL,15,0.6666666666666666
logic,BASELINE_ALL,15,0.6666666666666666
logic,BASELINE_NONE,5,0.6
logic,BASELINE_NONE,5,0.6
logic,BASELINE_NONE,5,0.8
logic,BASELINE_NONE,12,0.6666666666666666
logic,BASELINE_NONE,12,0.6666666666666666
logic,RANDOM,5,0.4
logic,RANDOM,5,1.0
logic,RANDOM,5,0.2
logic,RANDOM,15,0.4
logic,RANDOM,20,0.8
logic,RANDOM,25,1.0
logic,RANDOM,25,1.0
logic,GREEDY,5,0.6
logic,GREEDY,5,0.6
logic,GREEDY,5,0.8
logic,GREEDY,10,0.8
logic,GREEDY,10,0.8
logic,GREEDY,25,1.0
logic,GREEDY,35,1.0
logic,GREEDY,36,1.0
logic,SA+,5,0.4
logic,SA+,5,1.0
logic,SA+,5,0.2
logic,SA+,15,1.0
logic,SA+,20,0.6
logic,SA+,25,0.8
logic,SA+,30,1.0
logic,DE,5,1.0
logic,DE,5,0.6
logic,DE,5,0.6
logic,DE,10,0.8
logic,DE,15,0.8
logic,DE,50,1.0
logic,DE,60,1.0
logic,GWO,5,1.0
logic,GWO,5,0.6
logic,GWO,5,0.6
logic,GWO,10,0.8
logic,GWO,15,0.8
logic,GWO,60,1.0
logic,GWO,71,1.0
logic,HYBRID_DE_SA,5,1.0
logic,HYBRID_DE_SA,5,0.6
logic,HYBRID_DE_SA,5,0.6
logic,HYBRID_DE_SA,10,0.8
logic,HYBRID_DE_SA,15,0.8
logic,HYBRID_DE_SA,45,1.0
logic,HYBRID_DE_SA,50,1.0
